,Episodes,Total Reward,Epsilon,Buffer Size,Learn Step Counter,Moving Average
474,474,706.0,0.9649639802910494,100000,142658,
475,475,733.0,0.9649171806670486,100000,142852,
476,476,239.0,0.9649084964504148,100000,142888,
477,477,638.0,0.9648727954920503,100000,143036,
478,478,621.0,0.9648496388199418,100000,143132,
479,479,243.0,0.9648414376318407,100000,143166,
480,480,637.0,0.9648050155504835,100000,143317,
481,481,613.0,0.9647835488750188,100000,143406,
482,482,633.0,0.9647620826771824,100000,143495,
483,483,236.0,0.9647533998564245,100000,143531,
484,484,640.0,0.9647198752540777,100000,143670,
485,485,1225.0,0.964531049796762,100000,144453,
486,486,231.0,0.9645206811424104,100000,144496,
487,487,252.0,0.9645136883919455,100000,144525,
488,488,236.0,0.9645040433020803,100000,144565,
489,489,784.0,0.9644329137429204,100000,144860,
490,490,604.0,0.9644044633880495,100000,144978,
491,491,598.0,0.9643803535748218,100000,145078,
492,492,620.0,0.9643620305198802,100000,145154,
493,493,749.0,0.9642484835617856,100000,145625,
494,494,246.0,0.9642412517243734,100000,145655,
495,495,612.0,0.964224859760375,100000,145723,
496,496,608.0,0.96420147758811,100000,145820,
497,497,250.0,0.9641942461032411,100000,145850,
498,498,244.0,0.9641853273465979,100000,145887,
499,499,636.0,0.9641479658843709,100000,146042,
500,500,715.0,0.9636937181391351,100000,147927,
501,501,718.0,0.9636669760061594,100000,148038,
502,502,247.0,0.9636592667002244,100000,148070,
503,503,623.0,0.963642402808506,100000,148140,
504,504,809.0,0.9636002443703301,100000,148315,
505,505,506.0,0.9631936908051651,100000,150003,
506,506,231.0,0.9631842997112862,100000,150042,
507,507,759.0,0.9630826891150039,100000,150464,
508,508,603.0,0.963063909183321,100000,150542,
509,509,613.0,0.9630427220077274,100000,150630,
510,510,767.0,0.9629507558077234,100000,151012,
511,511,617.0,0.9629276452640194,100000,151108,
512,512,636.0,0.9629057389065341,100000,151199,
513,513,638.0,0.9628701120488371,100000,151347,
514,514,1138.0,0.962822932563349,100000,151543,
515,515,594.0,0.962797899489402,100000,151647,
516,516,1507.0,0.96266720852904,100000,152190,
517,517,779.0,0.9626265366935887,100000,152359,
518,518,1230.0,0.962469641335793,100000,153011,
519,519,775.0,0.9623871130921695,100000,153354,
520,520,619.0,0.9623659408059281,100000,153442,
521,521,229.0,0.9623555954263763,100000,153485,
522,522,235.0,0.9623464530905018,100000,153523,
523,523,597.0,0.9623178237058037,100000,153642,
524,524,248.0,0.9623094034606312,100000,153677,
525,525,591.0,0.9622766854930278,100000,153813,
526,526,247.0,0.9622687467421265,100000,153846,
527,527,239.0,0.9622610486219817,100000,153878,
528,528,604.0,0.9622391574293994,100000,153969,
529,529,719.0,0.962183108623902,100000,154202,
530,530,622.0,0.9620356653421843,100000,154815,
531,531,1186.0,0.9618079303291123,100000,155762,
532,532,229.0,0.9617983122966955,100000,155802,
533,533,915.0,0.9616062122464063,100000,156601,
534,534,636.0,0.961568710330727,100000,156757,
535,535,876.0,0.9613237818702072,100000,157776,
536,536,219.0,0.9613134476938051,100000,157819,
537,537,972.0,0.9611954536953651,100000,158310,
538,538,639.0,0.9611608512775492,100000,158454,
539,539,590.0,0.9611358614171586,100000,158558,
540,540,1017.0,0.961071947999521,100000,158824,
541,541,997.0,0.9609864163916609,100000,159180,
542,542,637.0,0.9609498995970915,100000,159332,
543,543,229.0,0.960940049909868,100000,159373,
544,544,699.0,0.9608449215419543,100000,159769,
545,545,939.0,0.9606827926211675,100000,160444,
546,546,238.0,0.9606729456717766,100000,160485,
547,547,761.0,0.9605737612982052,100000,160898,
548,548,734.0,0.9604426519118009,100000,161444,
549,549,234.0,0.9604332876404238,100000,161483,
550,550,1277.0,0.9603187627852211,100000,161960,
551,551,616.0,0.9602969157791443,100000,162051,
552,552,235.0,0.9602875529286877,100000,162090,
553,553,583.0,0.9602609053154967,100000,162201,
554,554,624.0,0.9602378593274381,100000,162297,
555,555,251.0,0.9602292172245123,100000,162333,
556,556,662.0,0.9601404001186588,100000,162703,
557,557,620.0,0.9601072758421069,100000,162841,
558,558,239.0,0.960099114963925,100000,162875,
559,559,216.0,0.9600887939526229,100000,162918,
560,560,225.0,0.9600787130719497,100000,162960,
561,561,862.0,0.9598296049379115,100000,163998,
562,562,1015.0,0.9597643387356833,100000,164270,
563,563,608.0,0.9597422644069858,100000,164362,
564,564,994.0,0.9596350191879565,100000,164809,
565,565,1373.0,0.959516031808057,100000,165305,
566,566,248.0,0.9595081158324574,100000,165338,
567,567,1150.0,0.9592632326097968,100000,166359,
568,568,625.0,0.9592375726583162,100000,166466,
569,569,251.0,0.9592301385950037,100000,166497,
570,570,624.0,0.9592068775432727,100000,166594,
571,571,248.0,0.9591999233177488,100000,166623,
572,572,987.0,0.959099452375466,100000,167042,
573,573,1001.0,0.9590140963119242,100000,167398,
574,574,621.0,0.9589579956212305,100000,167632,
